0.1 | GMM Full | nComponents = 32 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.541 | MinDCF = 0.525
0.1 | GMM Full | nComponents = 32 | Raw | Calibrated | PCA = 5 | ActDCF = 1.353 | MinDCF = 0.524
0.5 | GMM Full | nComponents = 32 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.164
0.5 | GMM Full | nComponents = 32 | Raw | Calibrated | PCA = 5 | ActDCF = 0.223 | MinDCF = 0.166
0.1 | GMM Full | nComponents = 32 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.641 | MinDCF = 0.537
0.1 | GMM Full | nComponents = 32 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.294 | MinDCF = 0.542
0.5 | GMM Full | nComponents = 32 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.226 | MinDCF = 0.155
0.5 | GMM Full | nComponents = 32 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.23 | MinDCF = 0.157
0.1 | GMM Full | nComponents = 32 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.54 | MinDCF = 0.515
0.1 | GMM Full | nComponents = 32 | Raw | Calibrated | PCA = 6 | ActDCF = 1.348 | MinDCF = 0.509
0.5 | GMM Full | nComponents = 32 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.238 | MinDCF = 0.164
0.5 | GMM Full | nComponents = 32 | Raw | Calibrated | PCA = 6 | ActDCF = 0.229 | MinDCF = 0.162
0.1 | GMM Full | nComponents = 32 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.611 | MinDCF = 0.539
0.1 | GMM Full | nComponents = 32 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.381 | MinDCF = 0.541
0.5 | GMM Full | nComponents = 32 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.231 | MinDCF = 0.161
0.5 | GMM Full | nComponents = 32 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.231 | MinDCF = 0.161
