0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 5 | ActDCF = 6.743 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.771 | MinDCF = 0.481
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 5 | ActDCF = 0.749 | MinDCF = 0.49
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.771 | MinDCF = 0.542
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 5 | ActDCF = 0.749 | MinDCF = 0.549
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.165 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.157 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.809 | MinDCF = 0.679
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.822 | MinDCF = 0.699
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.929 | MinDCF = 0.918
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.062 | MinDCF = 0.92
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.887 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 5 | ActDCF = 6.734 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.767 | MinDCF = 0.478
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 5 | ActDCF = 0.748 | MinDCF = 0.494
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.787 | MinDCF = 0.556
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 5 | ActDCF = 0.748 | MinDCF = 0.561
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.269 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Calibrated | PCA = 5 | ActDCF = 8.964 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.808 | MinDCF = 0.754
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.923
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.808 | MinDCF = 0.995
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.04 | MinDCF = 0.997
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.948 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 5 | ActDCF = 6.688 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.763 | MinDCF = 0.48
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 5 | ActDCF = 0.743 | MinDCF = 0.492
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.683 | MinDCF = 0.54
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 5 | ActDCF = 0.743 | MinDCF = 0.554
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.151 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.189 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.803 | MinDCF = 0.684
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.825 | MinDCF = 0.701
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.883 | MinDCF = 0.931
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.065 | MinDCF = 0.921
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.87 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 6.853 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.754 | MinDCF = 0.478
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.761 | MinDCF = 0.491
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.674 | MinDCF = 0.547
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.761 | MinDCF = 0.542
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.151 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.196 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.803 | MinDCF = 0.684
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.828 | MinDCF = 0.703
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.883 | MinDCF = 0.931
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.088 | MinDCF = 0.923
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
